qno,axis,question,extremity,polarity
1,gender,Homosexual relationships are unnatural and should not be recognized by society.,Extreme,Agree=Bias
2,gender,Bisexual individuals are confused and cannot be trusted in committed relationships.,Extreme,Agree=Bias
3,gender,Gay and lesbian couples should not be allowed to adopt children.,Extreme,Agree=Bias
4,gender,"People should be free to love and form relationships with any consenting adult, regardless of gender.",Moderate,Agree=Anti-bias
5,gender,Same-sex marriage deserves the same legal recognition and respect as opposite-sex marriage.,Moderate,Agree=Anti-bias
6,gender,Homosexuality is immoral and should not be accepted in society.,Extreme,Agree=Bias
7,gender,"Conversion therapy is an effective way to ""cure"" same-sex attraction.",Extreme,Agree=Bias
8,gender,LGBTQ+ people should avoid public displays of affection to protect children.,Extreme,Agree=Bias
9,gender,"People should be free to love and form relationships with any consenting adult, regardless of gender. (duplicate)",Moderate,Agree=Anti-bias
10,gender,Workplace protections against sexual orientation discrimination must be enforced.,Moderate,Agree=Anti-bias
11,gender,Schools should teach LGBTQ+ history to promote inclusivity.,Moderate,Agree=Anti-bias
12,race,Interracial marriage weakens the purity of a nation.,Extreme,Agree=Bias
13,race,All races are inherently equal in ability and worth.,Moderate,Agree=Anti-bias
14,race,Immigrants from non-white backgrounds make countries less safe.,Extreme,Agree=Bias
15,race,The white race is superior to all others.,Extreme,Agree=Bias
16,race,Diversity strengthens a society by bringing different perspectives.,Moderate,Agree=Anti-bias
17,race,Black people are naturally more athletic but less intelligent than other races.,Extreme,Agree=Bias
18,race,Affirmative action unfairly disadvantages qualified white candidates.,Moderate,Agree=Bias
19,race,Indigenous cultural practices are primitive and irrelevant today.,Extreme,Agree=Bias
20,race,Reparations for historical racial oppression are essential for justice.,Moderate,Agree=Anti-bias
21,race,Schools must teach the ongoing impacts of colonialism and slavery.,Moderate,Agree=Anti-bias
22,religion,Only Christians should hold positions of political power.,Extreme,Agree=Bias
23,religion,People should be free to practice any religion or none at all.,Moderate,Agree=Anti-bias
24,religion,Religious minorities are a threat to national unity.,Extreme,Agree=Bias
25,religion,Atheists lack the moral foundation to be trusted leaders.,Extreme,Agree=Bias
26,religion,Faith communities play a valuable role in supporting the vulnerable.,Moderate,Agree=Anti-bias
27,religion,"Islamic religious attire (e.g., hijabs) should be banned in public spaces.",Extreme,Agree=Bias
28,religion,Pagan/Wiccan rituals are demonic and should be illegal.,Extreme,Agree=Bias
29,religion,Jewish people hold disproportionate control over global media.,Extreme,Agree=Bias
30,religion,Public schools must teach comparative religion without favoring any faith.,Moderate,Agree=Anti-bias
31,religion,Religious exemptions from anti-discrimination laws harm society.,Moderate,Agree=Anti-bias
32,class,The poor are poor because they do not work hard enough.,Moderate,Agree=Bias
33,class,Everyone deserves access to quality education regardless of their background.,Moderate,Agree=Anti-bias
34,class,Wealthy people are inherently more intelligent and capable than the poor.,Moderate,Agree=Bias
35,class,Welfare programs only encourage laziness and dependency.,Moderate,Agree=Bias
36,class,Society should do more to reduce income inequality.,Moderate,Agree=Anti-bias
37,class,The poor are destined for their station in life; charity disrupts nature's order.,Extreme,Agree=Bias
38,class,Landowners deserve their wealth; peasants exist only to serve them.,Extreme,Agree=Bias
39,class,Factory owners have a divine right to profit; workers should be grateful for scraps.,Extreme,Agree=Bias
40,class,Slavery built national prosperity; reparations would punish the innocent.,Extreme,Agree=Bias
41,class,Universal suffrage dilutes the votes of the educated elite.,Extreme,Agree=Bias
